amplitude,duration,energy,rms,rise_time,counts,label
0.000234375,0.0047905,866.9263916,4.25E-05,0.0005842,125,1
0.000128125,0.0038492,250.399292,2.55E-05,0.0004737,89,1
0.000154688,0.0040898,425.4839844,3.23E-05,0.0003736,113,1
0.000301563,0.0043064,721.3035156,4.09E-05,0.0004365,118,1
7.50E-05,0.0020834,85.22346191,2.02E-05,0.0004468,38,1
9.69E-05,0.0025189,158.2638672,2.51E-05,0.0002245,63,1
3.44E-05,2.52E-05,8.769458008,5.90E-05,2.00E-07,0,1
0.000110938,0.0025297,148.6762207,2.42E-05,0.0003429,89,1
0.000325,0.0061205,1428.229883,4.83E-05,0.0021462,175,1
0.000164063,0.00316,333.094458,3.25E-05,0.0004492,106,1
4.69E-05,7.31E-05,7.030761719,3.10E-05,7.26E-05,0,1
3.28E-05,4.30E-05,8.796875,4.52E-05,1.00E-07,1,1
9.84E-05,0.0021853,127.793042,2.42E-05,0.0002246,50,1
0.0002125,0.0040386,447.2637695,3.33E-05,0.0002357,116,1
0.000104688,0.0022417,96.8722168,2.08E-05,0.0004308,55,1
0.000229688,0.0040766,649.4949951,3.99E-05,0.0003963,122,1
3.28E-05,1.00E-07,2.95324707,0.000543437,1.00E-07,0,1
0.000395313,0.0063495,2925.69165,6.79E-05,0.001883,219,1
3.44E-05,3.00E-07,6.461425781,0.000464087,1.00E-07,1,1
0.000232813,0.0041567,854.3211182,4.53E-05,0.0004616,126,1
3.44E-05,2.00E-07,3.006176758,0.000387697,1.00E-07,0,1
7.19E-05,0.0021926,63.38251953,1.70E-05,0.0001504,30,1
3.44E-05,1.00E-07,3.138671875,0.000560241,1.00E-07,0,1
0.000421875,0.0047549,1673.575562,5.93E-05,0.0003896,163,1
6.25E-05,0.0018566,56.75070801,1.75E-05,0.0003801,28,1
3.91E-05,0.0006997,17.56691895,1.58E-05,0.0002988,3,1
0.000242188,0.0052015,1081.552637,4.56E-05,0.0004044,144,1
8.28E-05,0.0022871,101.9038818,2.11E-05,0.0003891,57,1
8.59E-05,0.0028904,138.3520508,2.19E-05,0.0002514,69,1
0.000110938,0.0026925,179.075415,2.58E-05,0.0004853,78,1
0.000198438,0.0045036,773.948999,4.15E-05,0.0010368,149,1
0.000157813,0.0029162,241.5626465,2.88E-05,0.0002953,87,1
